,GoodCustomer,Gender,ForeignWorker,Single,Age,LoanDuration,PurposeOfLoan,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,CheckingAccountBalance_geq_0,CheckingAccountBalance_geq_200,SavingsAccountBalance_geq_100,SavingsAccountBalance_geq_500,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,YearsAtCurrentJob_lt_1,YearsAtCurrentJob_geq_4,JobClassIsSkilled
0,1,Male,0,1,41,5,NewCar,3017,2,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,0,Female,0,0,36,30,UsedCar,1916,4,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
2,1,Male,0,1,32,6,UsedCar,250,4,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3,1,Male,0,0,19,15,Furniture,3623,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
4,-1,Male,0,1,47,23,Education,8078,1,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
5,1,Male,0,1,62,14,Business,3697,3,4,1,2,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
6,1,Male,0,1,59,32,Furniture,7140,3,4,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
7,0,Male,0,0,24,8,NewCar,4202,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8,-1,Male,0,1,30,12,UsedCar,4454,4,3,2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
9,0,Female,0,0,29,33,Retraining,6739,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
10,1,Male,0,1,33,35,UsedCar,7114,3,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
